Order	Model	Interval	Threshold	Precision	Recall	Auc	Auc >= 0.70
random	hk_1.0_p	200	0.8	0.6176470588235294	0.6028571428571429	0.6028571428571429	NO
random	hk_1.0_p	200	0.9	0.6519230769230769	0.6128571428571428	0.6128571428571428	NO
random	voter	350	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.3	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	350	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	350	0.05	0.5850649350649351	0.6871428571428572	0.6871428571428572	NO
random	deffuant_p	350	0.1	0.5850649350649351	0.6871428571428572	0.6871428571428572	NO
random	deffuant_p	350	0.2	0.5850649350649351	0.6871428571428572	0.6871428571428572	NO
random	deffuant_p	350	0.3	0.5850649350649351	0.6871428571428572	0.6871428571428572	NO
random	deffuant_p	350	0.4	0.5535714285714286	0.6157142857142857	0.6157142857142857	NO
random	deffuant_p	350	0.5	0.5594594594594595	0.6257142857142857	0.6257142857142857	NO
random	deffuant_p	350	0.6	0.5726495726495726	0.6457142857142857	0.6457142857142857	NO
random	deffuant_p	350	0.7	0.5449695121951219	0.5842857142857143	0.5842857142857143	NO
random	deffuant_p	350	0.8	0.5132890365448505	0.5228571428571429	0.5228571428571428	NO
random	deffuant_p	350	0.9	0.5201048951048951	0.5328571428571429	0.5328571428571429	NO
random	hk_0.50_p	350	0.05	0.5523809523809524	0.5942857142857143	0.5942857142857143	NO
random	hk_0.50_p	350	0.1	0.5132890365448505	0.5228571428571429	0.5228571428571428	NO
random	hk_0.50_p	350	0.2	0.5132890365448505	0.5228571428571429	0.5228571428571428	NO
random	hk_0.50_p	350	0.3	0.5201048951048951	0.5328571428571429	0.5328571428571429	NO
random	hk_0.50_p	350	0.4	0.5201048951048951	0.5328571428571429	0.5328571428571429	NO
random	hk_0.50_p	350	0.5	0.5201048951048951	0.5328571428571429	0.5328571428571429	NO
random	hk_0.50_p	350	0.6	0.5201048951048951	0.5328571428571429	0.5328571428571429	NO
random	hk_0.50_p	350	0.7	0.5277777777777778	0.5428571428571429	0.5428571428571428	NO
random	hk_0.50_p	350	0.8	0.5277777777777778	0.5428571428571429	0.5428571428571428	NO
random	hk_0.50_p	350	0.9	0.5277777777777778	0.5428571428571429	0.5428571428571428	NO
random	hk_1.0_p	350	0.05	0.5801470588235295	0.6557142857142857	0.6557142857142857	NO
random	hk_1.0_p	350	0.1	0.5801470588235295	0.6557142857142857	0.6557142857142857	NO
random	hk_1.0_p	350	0.2	0.5801470588235295	0.6557142857142857	0.6557142857142857	NO
random	hk_1.0_p	350	0.3	0.5801470588235295	0.6557142857142857	0.6557142857142857	NO
random	hk_1.0_p	350	0.4	0.5449695121951219	0.5842857142857143	0.5842857142857143	NO
random	hk_1.0_p	350	0.5	0.5449695121951219	0.5842857142857143	0.5842857142857143	NO
random	hk_1.0_p	350	0.6	0.5523809523809524	0.5942857142857143	0.5942857142857143	NO
random	hk_1.0_p	350	0.7	0.5201048951048951	0.5328571428571429	0.5328571428571429	NO
random	hk_1.0_p	350	0.8	0.5277777777777778	0.5428571428571429	0.5428571428571428	NO
random	hk_1.0_p	350	0.9	0.5365612648221344	0.5528571428571428	0.5528571428571428	NO
random	voter	250	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.3	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	250	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	250	0.05	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.1	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.2	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.3	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.4	0.5976190476190476	0.6757142857142857	0.6757142857142857	NO
random	deffuant_p	250	0.5	0.6079734219269103	0.6857142857142857	0.6857142857142857	NO
random	deffuant_p	250	0.6	0.6197552447552448	0.6957142857142857	0.6957142857142857	NO
random	deffuant_p	250	0.7	0.5805555555555555	0.6242857142857142	0.6242857142857143	NO
random	deffuant_p	250	0.8	0.5468085106382978	0.5628571428571428	0.5628571428571428	NO
random	deffuant_p	250	0.9	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	250	0.05	0.6074468085106383	0.6442857142857142	0.6442857142857144	NO
random	hk_0.50_p	250	0.1	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	250	0.2	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	250	0.3	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_0.50_p	250	0.4	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_0.50_p	250	0.5	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_0.50_p	250	0.6	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_0.50_p	250	0.7	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_0.50_p	250	0.8	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_0.50_p	250	0.9	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_1.0_p	250	0.05	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.1	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.2	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.3	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.4	0.6074468085106383	0.6442857142857142	0.6442857142857144	NO
random	hk_1.0_p	250	0.5	0.6074468085106383	0.6442857142857142	0.6442857142857144	NO
random	hk_1.0_p	250	0.6	0.6074468085106383	0.6442857142857142	0.6442857142857144	NO
random	hk_1.0_p	250	0.7	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_1.0_p	250	0.8	0.5739795918367347	0.5828571428571429	0.5828571428571427	NO
random	hk_1.0_p	250	0.9	0.5928571428571429	0.5928571428571429	0.5928571428571427	NO
random	voter	300	0.05	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.1	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.2	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.3	0.43636363636363634	0.48	0.48	NO
